"","Adj.","Adv.","Art.","Conj.","Interrog. Part.","Interj.","Neg. Part.","Proper Noun","Demon. Pronoun","Prep.","Interrog. Pronoun","Pers. Pronoun","Noun","Verb"
"Amos",122,227,572,1457,65,76,284,906,65,1547,18,90,2781,1791
"Song",268,89,838,826,89,65,107,238,48,1867,54,119,3835,1558
"1 Chr",57,75,675,1703,8,10,45,1947,74,1561,6,67,2871,899
"2 Chr",96,104,819,1617,15,24,100,1007,58,1848,10,62,2862,1379
"Dan",162,65,777,1839,17,46,165,359,65,1694,3,97,3075,1634
"Deut",170,142,812,1585,10,14,229,526,114,1915,10,128,2693,1651
"Eccl",258,260,895,1500,31,17,307,21,113,1630,97,177,3156,1538
"Ezra",123,67,828,1466,5,8,53,1453,77,1554,5,69,3455,836
"Esth",141,87,1143,1502,17,6,93,671,69,1822,45,67,3032,1305
"Exod",122,139,840,1544,15,28,120,596,62,1877,15,87,3071,1483
"Ezek",155,211,661,1456,21,53,145,485,47,1830,6,156,3216,1558
"Gen",117,188,610,1740,35,79,100,859,89,1749,19,128,2586,1700
"Hab",167,167,379,1237,111,134,268,245,11,1672,33,123,3311,2140
"Hag",171,205,1186,1220,57,68,103,844,148,1631,34,114,2942,1277
"Hos",89,223,372,1399,19,19,286,744,25,1771,22,191,2775,2066
"Job",115,197,267,1471,130,75,344,147,51,1543,97,102,3251,2209
"Jer",101,223,694,1403,42,68,225,804,111,1784,21,109,2735,1680
"Isa",133,200,484,1414,36,68,261,554,78,1527,36,107,3152,1950
"Joel",197,167,706,1540,38,30,144,516,53,1419,30,61,3323,1775
"Jonah",234,71,792,1624,51,51,142,599,71,1878,91,122,2234,2041
"Josh",85,123,915,1581,10,16,87,1256,107,1881,8,85,2585,1260
"Judg",84,150,708,1649,41,58,126,963,74,1856,33,106,2412,1739
"Lev",180,71,970,1561,1,17,184,343,49,1980,1,149,3097,1398
"Mal",118,118,480,1609,101,76,211,598,42,1592,118,244,2822,1870
"Mic",79,190,422,1372,84,42,222,697,74,1704,58,84,3161,1810
"Nah",228,268,469,1300,54,67,214,375,0,1287,67,107,3660,1903
"Neh",152,89,995,1580,23,19,106,1065,73,1543,9,119,3062,1167
"Num",94,108,753,1399,23,24,96,925,83,1836,9,77,3297,1276
"Obad",26,153,434,1276,128,26,357,893,51,1786,26,77,3061,1709
"Prov",358,120,192,1159,19,8,293,114,7,1344,36,78,4406,1866
"Ps",134,147,283,1072,40,57,218,492,20,1715,26,116,3593,2087
"1 Kgs",123,147,838,1576,26,43,117,912,69,1771,12,97,2691,1578
"2 Kgs",87,142,760,1620,50,55,128,1042,68,1706,17,77,2561,1687
"Ruth",94,216,627,1870,78,39,150,760,44,1743,17,161,2075,2125
"Zech",141,172,821,1494,29,67,141,669,159,1680,49,110,2769,1700
"1 Sam",95,196,706,1711,45,69,136,987,91,1782,38,101,2248,1794
"2 Sam",93,193,757,1612,60,55,110,1083,68,1747,24,98,2422,1676
"Lam",139,144,380,817,36,15,278,437,36,1650,41,82,3681,2262
"Zeph",183,174,733,1128,10,39,280,694,106,1581,0,48,3404,1620
